192.168.48.1 - - [18/Mar/2024:22:01:41 +0000] "GET /api/votes HTTP/1.1" 401 236 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "6d804c1d2604160314a10861af3c761e"
192.168.80.1 - - [18/Mar/2024:22:11:02 +0000] "POST /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 200 50 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "f6cf1f07c236f304c58f0e0460d9b14f"
192.168.80.1 - - [18/Mar/2024:22:15:35 +0000] "POST /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 200 50 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "dea34507e72c5b744f7fc7645ba60678"
192.168.80.1 - - [18/Mar/2024:22:15:37 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "2a2f3f323910fc75d4e32346f092ec25"
192.168.80.1 - - [18/Mar/2024:22:15:44 +0000] "GET /api/votes HTTP/1.1" 200 691 "-" "PostmanRuntime/7.37.0" kong_request_id: "aa1d2e0e193fd90af59c0b6909a46801"
192.168.112.1 - - [19/Mar/2024:14:55:26 +0000] "POST /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 200 50 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "9c7ce15d75a1632f8076b7413f9a5831"
192.168.112.1 - - [19/Mar/2024:14:55:33 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "c008eb49bdd3591edd26c1381126be0b"
192.168.112.1 - - [19/Mar/2024:14:55:35 +0000] "GET /api/contestants HTTP/1.1" 200 265 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "07d3ad6e0f6f691cded2ec695aeb2412"
192.168.128.1 - - [19/Mar/2024:15:00:31 +0000] "GET /api/contestants HTTP/1.1" 200 265 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "0c69cb0d4ebd9f58dd7b863aca8a2d78"
192.168.144.1 - - [19/Mar/2024:15:04:39 +0000] "GET /api/contestants HTTP/1.1" 200 265 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "8c741b696f855d1f4348e82f32178c5a"
192.168.144.1 - - [19/Mar/2024:15:04:43 +0000] "POST /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 200 50 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "12fc72648574950ffa471f706c029a74"
192.168.160.1 - - [19/Mar/2024:15:08:16 +0000] "GET /api/contestants HTTP/1.1" 200 265 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "b8854845fae1966e302ffa2cebcf1a3d"
